院校名称,年份,省份,科类,批次,最低分,最低位次,平均分,招生人数,院校代码
东南大学,2024,陕西,理科,本科一批,628,4254,,14,32002
北京体育大学,2024,陕西,文科,本科一批,540,4260,,7,北京体育大学
上海理工大学,2024,陕西,文科,本科一批,540,4262,,3,上海理工大学
南开大学,2024,陕西,理科,本科一批,628,4270,,14,南开大学
重庆大学,2024,陕西,文科,本科一批,540,4350,,,重庆大学
郑州警察学院,2024,陕西,文科,本科提前批A段,540,4350,,,郑州警察学院
上海海洋大学,2024,陕西,文科,本科一批,538,4473,,5,上海海洋大学
北京林业大学,2024,陕西,文科,本科一批,538,4523,,2,北京林业大学
厦门大学,2024,陕西,理科,本科一批,626,4590,,55,厦门大学
北京交通大学,2024,陕西,理科,本科一批,626,4609,,6,北京交通大学
湖南师范大学,2024,陕西,文科,本科一批,537,4632,,25,湖南师范大学
北京邮电大学,2024,陕西,理科,本科一批,624,4853,,17,北京邮电大学
中央财经大学,2024,陕西,文科,本科一批,535,4867,,6,10008
上海政法学院,2024,陕西,文科,本科一批,535,4903,,17,上海政法学院
辽宁大学,2024,陕西,文科,本科一批,535,4912,,14,辽宁大学
华东师范大学,2024,陕西,理科,本科一批,624,4913,,17,31004
青岛大学,2024,陕西,文科,本科一批,535,4940,,9,青岛大学
河北大学,2024,陕西,文科,本科一批,534,4995,,13,河北大学
贵州大学,2024,陕西,文科,本科一批,534,5008,,15,贵州大学
重庆大学,2024,陕西,文科,本科一批,534,5083,,,重庆大学
成都中医药大学,2024,陕西,文科,本科一批,533,5138,,8,成都中医药大学
广西大学,2024,陕西,文科,本科一批,533,5151,,30,广西大学
西南大学,2024,陕西,文科,本科一批,532,5226,,3,西南大学
东南大学,2024,陕西,理科,本科一批,621,5281,,20,32002
山东科技大学,2024,陕西,文科,本科一批,532,5340,,2,山东科技大学
南京审计大学,2024,陕西,文科,本科一批,531,5395,,6,南京审计大学
南京信息工程大学,2024,陕西,文科,本科一批,531,5405,,8,南京信息工程大学
青岛大学,2024,陕西,文科,本科一批,531,5430,,4,青岛大学
延安大学,2024,陕西,文科,本科提前批C段,531,5466,,30,延安大学
中国人民公安大学,2024,陕西,理科,本科提前批A段,620,5510,,,中国人民公安大学
南方科技大学,2024,陕西,理科,本科提前批C段,619,5511,,,南方科技大学
中央戏剧学院,2024,陕西,文科,本科一批,530,5536,,14,中央戏剧学院
哈尔滨工业大学,2024,陕西,理科,本科一批,619,5547,,21,哈尔滨工业大学
哈尔滨工程大学,2024,陕西,理科,本科一批,619,5571,,2,哈尔滨工程大学
上海戏剧学院,2024,陕西,文科,本科一批,530,5577,,5,上海戏剧学院
内蒙古大学,2024,陕西,文科,本科一批,530,5602,,19,内蒙古大学
